listing_id,title,property_type,specific_type,bedrooms,area_sqft,price_ksh,county,city,area_name,url,price_disclosed,area_sqm,price_per_sqm,price_m,property_category
3739040,4 Bed Townhouse With En Suite At Westlands,Houses For Sale,Townhouses For Sale,4,,50000000.0,Nairobi,Westlands,Westlands Area,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3739040,True,,,50.0,House/Townhouse
3752210,0.75 Ac Land In Kitisuru,Land For Sale,Other Land For Sale,0,75.0,125000000.0,Nairobi,Westlands,Kitisuru,https://www.buyrentkenya.com/listings/075-ac-land-for-sale-kitisuru-3752210,True,6.967725,17939858.41863736,125.0,Land
3752150,1.5 Ac Land In Kitisuru,Land For Sale,Other Land For Sale,0,15.0,140000000.0,Nairobi,Westlands,Kitisuru,https://www.buyrentkenya.com/listings/15-ac-land-for-sale-kitisuru-3752150,True,1.393545,100463207.14436921,140.0,Land
3611257,3 Bed House With En Suite At Mombasa Road,Houses For Sale,Other Houses For Sale,3,0.0,10500000.0,Machakos,Mlolongo,Mlolongo,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-mlolongo-3611257,True,0.0,,10.5,House/Townhouse
3697835,2 Bed Apartment At Ngong Road,Apartments For Sale,Other Apartments For Sale,2,,6600000.0,Nairobi,Ngong Road,Ngong Road,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-ngong-road-3697835,True,,,6.6,Apartment/Flat
3752118,3 Bed Apartment With En Suite In Kileleshwa,Apartments For Sale,Other Apartments For Sale,3,,19000000.0,Nairobi,Kileleshwa,Kileleshwa,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-3752118,True,,,19.0,Apartment/Flat
3752095,Serviced 3 Bed Apartment With En Suite At Riara Road,Apartments For Sale,Other Apartments For Sale,3,161.0,16500000.0,Nairobi,Kilimani,Kilimani,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-3752095,True,14.957383,1103134.1512081358,16.5,Apartment/Flat
3752094,"10,000 M² Land At Migaa Golf Estate",Land For Sale,Other Land For Sale,0,10000.0,13000000.0,Nairobi,Kiambu Road,Kiambu Road,https://www.buyrentkenya.com/listings/10000-m2-land-for-sale-kiambu-road-3752094,True,929.03,13993.08956653714,13.0,Land
3752088,Land At Malaa,Land For Sale,Other Land For Sale,0,,1850000.0,Nairobi,Kamulu Joska Malaa,Malaa,https://www.buyrentkenya.com/listings/land-for-sale-malaa-3752088,True,,,1.85,Land
3752055,2 Bed Apartment With Parking In Kileleshwa,Apartments For Sale,Other Apartments For Sale,2,,10500000.0,Nairobi,Kileleshwa,Kileleshwa,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-3752055,True,,,10.5,Apartment/Flat
